"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.00418018020941647,0.908038298036464,0.315,0.2,1,"Taf1d"
0.0042341073515653,1.51479159564026,0.21,0.115,1,"Mybbp1a"
0.00423615729370796,-1.07968243406861,0.64,0.705,1,"Ctsd"
0.00426035801189873,-0.284421941067814,0.985,0.995,1,"Rps5"
0.00432515241232605,-0.551293023038326,0.32,0.46,1,"Ms4a6d"
0.00432922636110478,0.551230887134445,0.345,0.22,1,"Psmd8"
0.00434124857492264,-1.62686572154728,0.035,0.11,1,"Anapc7"
0.00438609253133525,-0.616724184182773,0.4,0.545,1,"Ifitm2"
0.00444303897012667,-1.06321282660744,0.13,0.24,1,"Brd1"
0.00445194990571268,-1.04931280298499,0.13,0.24,1,"Mdfic"
0.00452780310178231,-0.650226225365974,0.45,0.57,1,"Blvrb"
0.00453292134849572,-0.958060078417754,0.13,0.24,1,"Slc40a1"
0.00454151930642082,-0.718006301896238,0.31,0.44,1,"Plekho1"
0.00458898920278034,1.35843737870509,0.19,0.095,1,"Azin1"
0.00462128644572176,-0.485622849758001,0.61,0.715,1,"Hpgd"
0.00468669391969781,-1.23928368618362,0.11,0.21,1,"Ankfy1"
0.00469864037280961,-0.866458005134916,0.185,0.3,1,"Tsix"
0.0047720849314599,0.680656784608393,0.57,0.495,1,"Rps27l"
0.00491557524486982,0.64016028125508,0.65,0.595,1,"Zfp36l2"
0.00512864580525065,-0.469182250741731,0.34,0.495,1,"Dek"
0.00513515829349243,1.08564671998473,0.165,0.075,1,"Atn1"
0.00514065196426166,-0.493181323265697,0.43,0.56,1,"Ndfip1"
0.00515855115080678,-1.10773971557752,0.16,0.265,1,"Galc"
0.00517722199639211,1.0603753989084,0.18,0.085,1,"Nbr1"
0.00522560102918279,-0.504301057163639,0.405,0.54,1,"Ctsl"
0.00538177109877568,-0.523193611423995,0.555,0.68,1,"Atp5d"
0.0054198199525098,-0.635905059844713,0.165,0.29,1,"Fgd4"
0.00548130492529559,0.67790579991576,0.45,0.325,1,"Pdgfb"
0.0055407464596635,-0.657890847959545,0.385,0.515,1,"Scp2"
0.00554851815858224,0.554228752844827,0.41,0.27,1,"Glipr1"
0.00567281486746388,-1.07835108399805,0.09,0.185,1,"Gmps"
0.00572171416223014,-0.510857514071878,0.265,0.395,1,"Cct2"
0.005850615153843,-0.360286245466952,0.83,0.89,1,"Tmem176a"
0.00598509552530528,-1.34106111248759,0.05,0.13,1,"Ldlrad4"
0.00612231813468959,-0.513522323401093,0.3,0.44,1,"Wwp1"
0.00614138505544723,-0.533607286978502,0.605,0.72,1,"Prdx5"
0.0061669820267502,-0.333041868420027,0.655,0.755,1,"Bri3"
0.00624391263231684,-0.621037784480437,0.4,0.51,1,"Scand1"
0.00628375350407301,-0.726281397040701,0.34,0.455,1,"Lrp1"
0.00637375020661829,-1.40183987383098,0.035,0.105,1,"Cfap36"
0.00651138427198656,-0.39600139460782,0.325,0.47,1,"Purb"
0.00661855939965007,1.10399705959479,0.24,0.14,1,"Rps27rt"
