"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.74216374413262e-96,3.11208474044987,1,0.21,4.37788327263087e-92,"0","Ttll7"
1.85298412775076e-96,3.41392798095132,1,0.223,4.65636381462488e-92,"0","Chga"
6.11325062937243e-96,2.82267687602885,0.76,0.091,1.536198750655e-91,"0","Rnf182"
6.69739043067218e-96,2.93631380168793,0.96,0.172,1.68298724132361e-91,"0","Igsf8"
1.30929272508225e-95,2.84528472666961,0.88,0.132,3.29012168885918e-91,"0","Ank2"
1.59969237207068e-95,3.09195151337064,0.83,0.119,4.01986696177641e-91,"0","Rsph9"
6.41918666642602e-95,3.2312825253439,0.67,0.071,1.61307741740619e-90,"0","Spef1"
1.28802615881337e-94,3.27761561615913,0.6,0.057,3.23668093448213e-90,"0","Meig1"
2.53562879947584e-94,3.18722910209938,0.68,0.075,6.37178161020283e-90,"0","Mapk10"
6.62385326772722e-94,2.05455625782906,0.84,0.109,1.66450808764717e-89,"0","Tubb3"
8.19828547441792e-94,3.4542009485069,0.99,0.228,2.06014715686648e-89,"0","Gfy"
5.52324811814896e-92,3.18594751986254,0.64,0.066,1.38793701960965e-87,"0","1110017D15Rik"
8.66868923436345e-92,3.52541449373136,0.57,0.052,2.17835491770319e-87,"0","Wdr54"
1.02498386762722e-91,3.37439377706326,1,0.243,2.57568196096044e-87,"0","Nsg1"
2.90958431451933e-91,3.69558758017915,0.51,0.041,7.31149442395563e-87,"0","Tex52"
2.99008021335818e-91,3.44711869298961,0.66,0.073,7.51377256814778e-87,"0","Pak3"
8.89896081289326e-91,3.46050493261447,0.6,0.059,2.23621986267195e-86,"0","A430035B10Rik"
1.30592197389674e-90,3.07937550217856,0.91,0.164,3.28165132820511e-86,"0","Pde6d"
1.54891841255274e-90,3.360280739534,0.55,0.049,3.89227707890379e-86,"0","Lingo2"
1.9112310558498e-90,3.0119909095083,0.78,0.105,4.80273252024497e-86,"0","Traf3ip1"
2.3513730231845e-90,2.34140685313879,0.96,0.164,5.90876526996032e-86,"0","Tesc"
1.33470747749592e-89,3.44849254293005,0.65,0.073,3.3539864201995e-85,"0","Robo2"
5.22244635267281e-89,3.21866260002632,0.65,0.073,1.31234854396315e-84,"0","Scg3"
5.97055242282841e-89,3.37157813398997,0.58,0.056,1.50034011833255e-84,"0","Glb1l2"
9.13805129527105e-89,2.89635546869686,0.76,0.101,2.29630090998866e-84,"0","Pygo1"
1.21708203952525e-88,3.64389572083439,0.48,0.037,3.05840545712301e-84,"0","Arxes2"
1.28944409644874e-88,3.33042756177904,0.55,0.05,3.24024406996603e-84,"0","Ccdc33"
1.49787011673278e-88,3.37074641922926,0.63,0.068,3.7639978163378e-84,"0","Dner"
1.9428985086278e-88,3.52726185792995,1,0.259,4.88230966233081e-84,"0","Gnal"
3.21824153248049e-88,3.49935214265872,0.58,0.058,8.08711914697023e-84,"0","Rab36"
3.96685040705355e-88,3.12065982517205,0.6,0.06,9.96829838788486e-84,"0","Dcx"
4.11082484610487e-88,3.46640611472895,0.58,0.058,1.03300917557769e-83,"0","Scn3b"
4.21830495448594e-88,3.28108730457331,1,0.25,1.06001785201277e-83,"0","Fstl5"
8.13918094461566e-88,3.5172412460761,0.54,0.049,2.04529477957247e-83,"0","Sult4a1"
9.99454788970037e-88,3.31269018146816,0.61,0.065,2.51152993920281e-83,"0","Add2"
1.27888448689258e-87,2.93605517576402,0.83,0.13,3.21370882711236e-83,"0","Gnao1"
1.55491379685254e-87,2.85181176176465,1,0.227,3.90734288011076e-83,"0","Serpine2"
6.40710240789857e-87,2.9447929184393,0.66,0.075,1.61004076408083e-82,"0","Syt7"
2.2531849664408e-86,3.74683205890345,0.53,0.048,5.66202850216908e-82,"0","B830017H08Rik"
5.31555057585061e-85,3.47889160685635,0.55,0.053,1.3357447042055e-80,"0","Lingo1"
8.24941152486774e-85,3.10714301898908,0.69,0.086,2.07299462208401e-80,"0","Kcnb1"
1.27018939498884e-84,3.35613785767335,0.55,0.053,3.19185893066746e-80,"0","Drc1"
1.53346253324826e-84,5.08070858337825,0.67,0.094,3.85343799979955e-80,"0","Nqo1"
2.26489309912257e-84,3.27069028143009,0.58,0.06,5.6914498687851e-80,"0","Dnm1"
1.11962438540556e-83,1.94956132969414,0.83,0.126,2.81350411808563e-79,"0","Stmn2"
1.57773972388465e-83,2.79508917208592,0.72,0.093,3.96470215214973e-79,"0","Gm13648"
6.54700231476068e-83,3.44932446926797,1,0.281,1.64519621167621e-78,"0","Omp"
1.03657390314716e-82,2.88003741180668,0.85,0.147,2.6048065612185e-78,"0","Ip6k2"
2.45939680081139e-82,2.94706573125148,0.8,0.126,6.18021822075894e-78,"0","Rufy2"
